Account Number,Account name,Currency,Credit Amt.,Debit Bal,Credit Bal
,,,,,
A-10         ,CAPITAL,LL,"4,500,000.00",0.00,"4,500,000.00"
,,,,,
,,,,,
A-101        ,CAPITAL,LL,"4,500,000.00",0.00,"4,500,000.00"
,,,,,
,,,,,
A-1010       ,CAPITAL,LL,"4,500,000.00",0.00,"4,500,000.00"
,,,,,
,,,,,
A-1010001    ,CAPITAL,LL,"4,500,000.00",0.00,"4,500,000.00"
,,,,,
,,,,,
A-13         ,NET RESULT OF FINANC. PERIOD,LL,"323,314,612.68",0.00,"323,314,612.68"
,,,,,
,,,,,
A-138        ,PROFIT OF THE PERIOD,LL,"323,314,612.68",0.00,"323,314,612.68"
